MNIST: 2024-04-15 19:07:51,854 [INFO] EvoJAX MNIST Demo
MNIST: 2024-04-15 19:07:51,854 [INFO] ==============================
MNIST: 2024-04-15 19:07:56,233 [INFO] ConvNetPolicy.num_params = 11274
MNIST: 2024-04-15 19:07:57,244 [INFO] use_for_loop=False
MNIST: 2024-04-15 19:07:57,267 [INFO] Start to train for 5000 iterations.
MNIST: 2024-04-15 19:08:05,995 [INFO] Iter=1, size=128, max=-2.2955, avg=-2.3047, min=-2.3156, std=0.0037
MNIST: 2024-04-15 19:08:07,379 [INFO] Iter=19, size=128, max=-1.8665, avg=-1.9817, min=-2.1293, std=0.0504
MNIST: 2024-04-15 19:08:07,451 [INFO] Iter=20, size=128, max=-1.7464, avg=-1.8932, min=-2.0829, std=0.0539
MNIST: 2024-04-15 19:08:07,527 [INFO] Iter=21, size=128, max=-1.6690, avg=-1.8237, min=-2.0714, std=0.0636
MNIST: 2024-04-15 19:08:07,599 [INFO] Iter=22, size=128, max=-1.6223, avg=-1.7797, min=-2.0755, std=0.0765
MNIST: 2024-04-15 19:08:07,675 [INFO] Iter=23, size=128, max=-1.5857, avg=-1.7549, min=-2.0828, std=0.0801
MNIST: 2024-04-15 19:08:07,752 [INFO] Iter=24, size=128, max=-1.4853, avg=-1.6947, min=-1.9221, std=0.0825
MNIST: 2024-04-15 19:08:07,824 [INFO] Iter=25, size=128, max=-1.4654, avg=-1.6511, min=-1.9290, std=0.0881
MNIST: 2024-04-15 19:08:07,901 [INFO] Iter=26, size=128, max=-1.3526, avg=-1.5702, min=-1.9843, std=0.1063
MNIST: 2024-04-15 19:08:07,973 [INFO] Iter=27, size=128, max=-1.3129, avg=-1.5382, min=-1.8292, std=0.1060
MNIST: 2024-04-15 19:08:08,050 [INFO] Iter=28, size=128, max=-1.2134, avg=-1.4884, min=-1.8370, std=0.1095
MNIST: 2024-04-15 19:08:08,128 [INFO] Iter=29, size=128, max=-1.2211, avg=-1.4874, min=-1.7792, std=0.1094
MNIST: 2024-04-15 19:08:08,205 [INFO] Iter=30, size=128, max=-1.1773, avg=-1.4069, min=-1.7228, std=0.1093
MNIST: 2024-04-15 19:08:08,281 [INFO] Iter=31, size=128, max=-1.2493, avg=-1.4677, min=-1.8470, std=0.1146
MNIST: 2024-04-15 19:08:08,357 [INFO] Iter=32, size=128, max=-1.1370, avg=-1.3792, min=-1.7683, std=0.1198
MNIST: 2024-04-15 19:08:08,434 [INFO] Iter=33, size=128, max=-1.1396, avg=-1.3908, min=-1.7694, std=0.1323
MNIST: 2024-04-15 19:08:08,510 [INFO] Iter=34, size=128, max=-1.0915, avg=-1.3537, min=-1.9170, std=0.1468
MNIST: 2024-04-15 19:08:08,587 [INFO] Iter=35, size=128, max=-1.0679, avg=-1.3154, min=-1.9078, std=0.1443
MNIST: 2024-04-15 19:08:08,665 [INFO] Iter=36, size=128, max=-1.0890, avg=-1.3379, min=-2.3407, std=0.1761
MNIST: 2024-04-15 19:08:08,737 [INFO] Iter=37, size=128, max=-1.0282, avg=-1.2621, min=-1.9695, std=0.1401
MNIST: 2024-04-15 19:08:08,808 [INFO] Iter=38, size=128, max=-0.9833, avg=-1.2514, min=-1.8528, std=0.1478
MNIST: 2024-04-15 19:08:08,880 [INFO] Iter=39, size=128, max=-0.9531, avg=-1.1735, min=-1.5573, std=0.1142
MNIST: 2024-04-15 19:08:08,957 [INFO] Iter=40, size=128, max=-0.9116, avg=-1.1359, min=-1.4161, std=0.1133
MNIST: 2024-04-15 19:08:09,029 [INFO] Iter=41, size=128, max=-0.8944, avg=-1.1287, min=-1.6265, std=0.1232
MNIST: 2024-04-15 19:08:09,106 [INFO] Iter=42, size=128, max=-0.9276, avg=-1.1708, min=-1.5810, std=0.1247
MNIST: 2024-04-15 19:08:09,178 [INFO] Iter=43, size=128, max=-0.9127, avg=-1.1429, min=-1.6224, std=0.1223
MNIST: 2024-04-15 19:08:09,255 [INFO] Iter=44, size=128, max=-0.9207, avg=-1.1182, min=-1.4171, std=0.1138
MNIST: 2024-04-15 19:08:09,326 [INFO] Iter=45, size=128, max=-0.8741, avg=-1.0677, min=-1.3852, std=0.1077
MNIST: 2024-04-15 19:08:09,398 [INFO] Iter=46, size=128, max=-0.8891, avg=-1.1308, min=-1.6032, std=0.1260
MNIST: 2024-04-15 19:08:09,474 [INFO] Iter=47, size=128, max=-0.9125, avg=-1.1024, min=-1.5645, std=0.1175
MNIST: 2024-04-15 19:08:09,545 [INFO] Iter=48, size=128, max=-0.8345, avg=-1.0272, min=-1.4523, std=0.1084
MNIST: 2024-04-15 19:08:09,622 [INFO] Iter=49, size=128, max=-0.8089, avg=-0.9793, min=-1.3717, std=0.0943
MNIST: 2024-04-15 19:08:09,698 [INFO] Iter=50, size=128, max=-0.7858, avg=-0.9941, min=-1.4916, std=0.1319
MNIST: 2024-04-15 19:08:09,773 [INFO] Iter=51, size=128, max=-0.7457, avg=-1.0129, min=-1.3524, std=0.1191
MNIST: 2024-04-15 19:08:09,845 [INFO] Iter=52, size=128, max=-0.8089, avg=-1.0016, min=-1.3159, std=0.0966
MNIST: 2024-04-15 19:08:09,921 [INFO] Iter=53, size=128, max=-0.7997, avg=-0.9911, min=-1.6937, std=0.1238
MNIST: 2024-04-15 19:08:09,998 [INFO] Iter=54, size=128, max=-0.7385, avg=-0.9292, min=-1.2556, std=0.1014
MNIST: 2024-04-15 19:08:10,074 [INFO] Iter=55, size=128, max=-0.7220, avg=-0.8933, min=-1.2336, std=0.0982
MNIST: 2024-04-15 19:08:10,145 [INFO] Iter=56, size=128, max=-0.7368, avg=-0.8976, min=-1.1740, std=0.0933
MNIST: 2024-04-15 19:08:10,218 [INFO] Iter=57, size=128, max=-0.6986, avg=-0.8615, min=-1.3603, std=0.0965
MNIST: 2024-04-15 19:08:10,289 [INFO] Iter=58, size=128, max=-0.7859, avg=-0.9428, min=-1.1990, std=0.0958
MNIST: 2024-04-15 19:08:10,366 [INFO] Iter=59, size=128, max=-0.7459, avg=-0.9306, min=-1.2368, std=0.1001
MNIST: 2024-04-15 19:08:10,439 [INFO] Iter=60, size=128, max=-0.6740, avg=-0.8795, min=-1.1766, std=0.0917
MNIST: 2024-04-15 19:08:10,515 [INFO] Iter=61, size=128, max=-0.6913, avg=-0.8614, min=-1.2118, std=0.1015
MNIST: 2024-04-15 19:08:10,591 [INFO] Iter=62, size=128, max=-0.7091, avg=-0.8688, min=-1.1943, std=0.0924
MNIST: 2024-04-15 19:08:10,663 [INFO] Iter=63, size=128, max=-0.6275, avg=-0.7896, min=-1.2918, std=0.1076
MNIST: 2024-04-15 19:08:10,735 [INFO] Iter=64, size=128, max=-0.6444, avg=-0.8501, min=-1.1433, std=0.0954
MNIST: 2024-04-15 19:08:10,810 [INFO] Iter=65, size=128, max=-0.6073, avg=-0.7743, min=-1.0864, std=0.0877
MNIST: 2024-04-15 19:08:10,887 [INFO] Iter=66, size=128, max=-0.6762, avg=-0.8673, min=-1.1501, std=0.1058
MNIST: 2024-04-15 19:08:10,959 [INFO] Iter=67, size=128, max=-0.6121, avg=-0.7868, min=-1.2117, std=0.0991
MNIST: 2024-04-15 19:08:11,031 [INFO] Iter=68, size=128, max=-0.6316, avg=-0.7934, min=-1.4297, std=0.1048
MNIST: 2024-04-15 19:08:11,108 [INFO] Iter=69, size=128, max=-0.6631, avg=-0.8312, min=-1.1126, std=0.0817
MNIST: 2024-04-15 19:08:11,180 [INFO] Iter=70, size=128, max=-0.6147, avg=-0.7532, min=-0.9952, std=0.0792
MNIST: 2024-04-15 19:08:11,257 [INFO] Iter=71, size=128, max=-0.5905, avg=-0.7615, min=-1.1690, std=0.0970
MNIST: 2024-04-15 19:08:11,333 [INFO] Iter=72, size=128, max=-0.6291, avg=-0.8053, min=-1.1521, std=0.0932
MNIST: 2024-04-15 19:08:11,410 [INFO] Iter=73, size=128, max=-0.6255, avg=-0.7986, min=-1.1471, std=0.1064
MNIST: 2024-04-15 19:08:11,487 [INFO] Iter=74, size=128, max=-0.5849, avg=-0.7631, min=-1.2715, std=0.1103
MNIST: 2024-04-15 19:08:11,564 [INFO] Iter=75, size=128, max=-0.5363, avg=-0.7040, min=-1.0597, std=0.0814
MNIST: 2024-04-15 19:08:11,640 [INFO] Iter=76, size=128, max=-0.6163, avg=-0.7707, min=-1.0019, std=0.0796
MNIST: 2024-04-15 19:08:11,716 [INFO] Iter=77, size=128, max=-0.5481, avg=-0.7033, min=-1.1294, std=0.1020
MNIST: 2024-04-15 19:08:11,792 [INFO] Iter=78, size=128, max=-0.5385, avg=-0.7191, min=-1.0570, std=0.0893
MNIST: 2024-04-15 19:08:11,869 [INFO] Iter=79, size=128, max=-0.5583, avg=-0.7080, min=-0.9857, std=0.0819
MNIST: 2024-04-15 19:08:11,947 [INFO] Iter=80, size=128, max=-0.5971, avg=-0.7587, min=-1.1387, std=0.0861
MNIST: 2024-04-15 19:08:12,024 [INFO] Iter=81, size=128, max=-0.5644, avg=-0.6945, min=-0.9735, std=0.0739
MNIST: 2024-04-15 19:08:12,096 [INFO] Iter=82, size=128, max=-0.5414, avg=-0.6945, min=-1.0711, std=0.0895
MNIST: 2024-04-15 19:08:12,173 [INFO] Iter=83, size=128, max=-0.5739, avg=-0.7055, min=-1.0955, std=0.0777
MNIST: 2024-04-15 19:08:12,250 [INFO] Iter=84, size=128, max=-0.5545, avg=-0.6848, min=-0.9990, std=0.0742
MNIST: 2024-04-15 19:08:12,322 [INFO] Iter=85, size=128, max=-0.5478, avg=-0.6949, min=-0.9792, std=0.0850
MNIST: 2024-04-15 19:08:12,397 [INFO] Iter=86, size=128, max=-0.5101, avg=-0.6603, min=-0.8907, std=0.0789
MNIST: 2024-04-15 19:08:12,474 [INFO] Iter=87, size=128, max=-0.5048, avg=-0.6340, min=-0.9527, std=0.0836
MNIST: 2024-04-15 19:08:12,545 [INFO] Iter=88, size=128, max=-0.5714, avg=-0.6892, min=-0.9179, std=0.0793
MNIST: 2024-04-15 19:08:12,622 [INFO] Iter=89, size=128, max=-0.5528, avg=-0.6776, min=-0.9999, std=0.0686
MNIST: 2024-04-15 19:08:12,698 [INFO] Iter=90, size=128, max=-0.5122, avg=-0.6439, min=-0.8645, std=0.0658
MNIST: 2024-04-15 19:08:12,770 [INFO] Iter=91, size=128, max=-0.5570, avg=-0.6902, min=-0.9189, std=0.0713
MNIST: 2024-04-15 19:08:12,847 [INFO] Iter=92, size=128, max=-0.5432, avg=-0.6874, min=-1.0938, std=0.0793
MNIST: 2024-04-15 19:08:12,925 [INFO] Iter=93, size=128, max=-0.5227, avg=-0.6564, min=-0.8956, std=0.0653
MNIST: 2024-04-15 19:08:12,997 [INFO] Iter=94, size=128, max=-0.5296, avg=-0.6505, min=-0.9136, std=0.0705
MNIST: 2024-04-15 19:08:13,068 [INFO] Iter=95, size=128, max=-0.5026, avg=-0.6356, min=-0.9740, std=0.0712
MNIST: 2024-04-15 19:08:13,146 [INFO] Iter=96, size=128, max=-0.4836, avg=-0.5929, min=-0.8137, std=0.0632
MNIST: 2024-04-15 19:08:13,222 [INFO] Iter=97, size=128, max=-0.4637, avg=-0.6028, min=-0.7971, std=0.0634
MNIST: 2024-04-15 19:08:13,299 [INFO] Iter=98, size=128, max=-0.4697, avg=-0.5834, min=-0.7991, std=0.0611
MNIST: 2024-04-15 19:08:13,371 [INFO] Iter=99, size=128, max=-0.4775, avg=-0.6365, min=-0.8796, std=0.0640
MNIST: 2024-04-15 19:08:13,444 [INFO] Iter=100, size=128, max=-0.5221, avg=-0.6167, min=-0.7562, std=0.0497
MNIST: 2024-04-15 19:08:13,521 [INFO] Iter=101, size=128, max=-0.4445, avg=-0.5473, min=-0.8495, std=0.0687
MNIST: 2024-04-15 19:08:13,598 [INFO] Iter=102, size=128, max=-0.4284, avg=-0.5728, min=-0.9334, std=0.0696
MNIST: 2024-04-15 19:08:13,674 [INFO] Iter=103, size=128, max=-0.5366, avg=-0.6388, min=-0.8900, std=0.0621
MNIST: 2024-04-15 19:08:13,751 [INFO] Iter=104, size=128, max=-0.4608, avg=-0.5697, min=-0.7867, std=0.0588
MNIST: 2024-04-15 19:08:13,828 [INFO] Iter=105, size=128, max=-0.4526, avg=-0.5776, min=-0.7642, std=0.0647
MNIST: 2024-04-15 19:08:13,905 [INFO] Iter=106, size=128, max=-0.4383, avg=-0.5604, min=-0.6914, std=0.0570
MNIST: 2024-04-15 19:08:13,978 [INFO] Iter=107, size=128, max=-0.4413, avg=-0.5766, min=-0.8470, std=0.0734
MNIST: 2024-04-15 19:08:14,055 [INFO] Iter=108, size=128, max=-0.5044, avg=-0.6042, min=-0.7670, std=0.0592
MNIST: 2024-04-15 19:08:14,131 [INFO] Iter=109, size=128, max=-0.4971, avg=-0.6125, min=-0.9225, std=0.0738
MNIST: 2024-04-15 19:08:14,203 [INFO] Iter=110, size=128, max=-0.4296, avg=-0.5465, min=-0.7563, std=0.0598
MNIST: 2024-04-15 19:08:14,278 [INFO] Iter=111, size=128, max=-0.4553, avg=-0.5685, min=-1.0508, std=0.0832
MNIST: 2024-04-15 19:08:14,351 [INFO] Iter=112, size=128, max=-0.4991, avg=-0.6039, min=-0.8274, std=0.0610
MNIST: 2024-04-15 19:08:14,427 [INFO] Iter=113, size=128, max=-0.4823, avg=-0.5986, min=-0.8164, std=0.0730
MNIST: 2024-04-15 19:08:14,503 [INFO] Iter=114, size=128, max=-0.4808, avg=-0.6043, min=-0.9154, std=0.0787
MNIST: 2024-04-15 19:08:14,581 [INFO] Iter=115, size=128, max=-0.4216, avg=-0.5465, min=-0.7516, std=0.0658
MNIST: 2024-04-15 19:08:14,658 [INFO] Iter=116, size=128, max=-0.4442, avg=-0.5437, min=-0.7173, std=0.0588
MNIST: 2024-04-15 19:08:14,733 [INFO] Iter=117, size=128, max=-0.4196, avg=-0.5245, min=-0.7235, std=0.0593
MNIST: 2024-04-15 19:08:14,805 [INFO] Iter=118, size=128, max=-0.4350, avg=-0.5380, min=-0.7394, std=0.0533
MNIST: 2024-04-15 19:08:14,877 [INFO] Iter=119, size=128, max=-0.3953, avg=-0.5282, min=-0.7775, std=0.0718
MNIST: 2024-04-15 19:08:14,953 [INFO] Iter=120, size=128, max=-0.3531, avg=-0.4497, min=-0.6678, std=0.0506
MNIST: 2024-04-15 19:08:15,025 [INFO] Iter=121, size=128, max=-0.4780, avg=-0.5793, min=-0.8175, std=0.0642
MNIST: 2024-04-15 19:08:15,100 [INFO] Iter=122, size=128, max=-0.3827, avg=-0.4997, min=-0.7627, std=0.0567
MNIST: 2024-04-15 19:08:15,172 [INFO] Iter=123, size=128, max=-0.4059, avg=-0.4897, min=-0.6574, std=0.0496
MNIST: 2024-04-15 19:08:15,248 [INFO] Iter=124, size=128, max=-0.4544, avg=-0.5584, min=-0.7682, std=0.0641
MNIST: 2024-04-15 19:08:15,320 [INFO] Iter=125, size=128, max=-0.4223, avg=-0.5020, min=-0.6801, std=0.0536
MNIST: 2024-04-15 19:08:15,397 [INFO] Iter=126, size=128, max=-0.3788, avg=-0.4587, min=-0.6078, std=0.0427
MNIST: 2024-04-15 19:08:15,469 [INFO] Iter=127, size=128, max=-0.4396, avg=-0.5488, min=-0.7122, std=0.0485
MNIST: 2024-04-15 19:08:15,546 [INFO] Iter=128, size=128, max=-0.4261, avg=-0.5277, min=-0.6875, std=0.0470
MNIST: 2024-04-15 19:08:15,624 [INFO] Iter=129, size=128, max=-0.4922, avg=-0.5920, min=-0.7494, std=0.0597
MNIST: 2024-04-15 19:08:15,699 [INFO] Iter=130, size=128, max=-0.4273, avg=-0.5232, min=-0.6764, std=0.0526
MNIST: 2024-04-15 19:08:15,771 [INFO] Iter=131, size=128, max=-0.4554, avg=-0.5454, min=-0.7324, std=0.0567
MNIST: 2024-04-15 19:08:15,848 [INFO] Iter=132, size=128, max=-0.3990, avg=-0.4851, min=-0.6747, std=0.0523
MNIST: 2024-04-15 19:08:15,920 [INFO] Iter=133, size=128, max=-0.4084, avg=-0.4989, min=-0.7044, std=0.0544
MNIST: 2024-04-15 19:08:15,993 [INFO] Iter=134, size=128, max=-0.4159, avg=-0.5152, min=-0.7078, std=0.0582
MNIST: 2024-04-15 19:08:16,069 [INFO] Iter=135, size=128, max=-0.3435, avg=-0.4577, min=-0.6881, std=0.0556
MNIST: 2024-04-15 19:08:16,141 [INFO] Iter=136, size=128, max=-0.4044, avg=-0.4927, min=-0.6574, std=0.0473
MNIST: 2024-04-15 19:08:16,213 [INFO] Iter=137, size=128, max=-0.3539, avg=-0.4524, min=-0.5946, std=0.0444
MNIST: 2024-04-15 19:18:42,010 [INFO] EvoJAX MNIST Demo
MNIST: 2024-04-15 19:18:42,010 [INFO] ==============================
MNIST: 2024-04-15 19:18:46,376 [INFO] ConvNetPolicy.num_params = 11274
MNIST: 2024-04-15 19:18:47,384 [INFO] use_for_loop=False
MNIST: 2024-04-15 19:18:47,407 [INFO] Start to train for 5000 iterations.
MNIST: 2024-04-15 19:18:56,072 [INFO] Iter=1, size=128, max=-2.2958, avg=-2.3046, min=-2.3158, std=0.0037
MNIST: 2024-04-15 19:18:56,146 [INFO] Iter=2, size=128, max=-2.2961, avg=-2.3053, min=-2.3175, std=0.0034
MNIST: 2024-04-15 19:18:56,223 [INFO] Iter=3, size=128, max=-2.2971, avg=-2.3039, min=-2.3115, std=0.0029
MNIST: 2024-04-15 19:18:56,300 [INFO] Iter=4, size=128, max=-2.2904, avg=-2.3038, min=-2.3140, std=0.0040
MNIST: 2024-04-15 19:18:56,370 [INFO] Iter=5, size=128, max=-2.2957, avg=-2.3037, min=-2.3162, std=0.0037
MNIST: 2024-04-15 19:18:56,443 [INFO] Iter=6, size=128, max=-2.2926, avg=-2.3038, min=-2.3128, std=0.0038
MNIST: 2024-04-15 19:18:56,519 [INFO] Iter=7, size=128, max=-2.2869, avg=-2.3058, min=-2.3219, std=0.0049
MNIST: 2024-04-15 19:18:56,590 [INFO] Iter=8, size=128, max=-2.2848, avg=-2.3003, min=-2.3130, std=0.0046
MNIST: 2024-04-15 19:18:56,717 [INFO] Iter=9, size=128, max=-2.2767, avg=-2.2974, min=-2.3081, std=0.0051
MNIST: 2024-04-15 19:18:56,793 [INFO] Iter=10, size=128, max=-2.2787, avg=-2.2934, min=-2.3137, std=0.0064
MNIST: 2024-04-15 19:18:56,864 [INFO] Iter=11, size=128, max=-2.2652, avg=-2.2878, min=-2.3081, std=0.0078
MNIST: 2024-04-15 19:18:56,936 [INFO] Iter=12, size=128, max=-2.2568, avg=-2.2841, min=-2.3043, std=0.0094
MNIST: 2024-04-15 19:18:57,007 [INFO] Iter=13, size=128, max=-2.2605, avg=-2.2881, min=-2.3197, std=0.0105
MNIST: 2024-04-15 19:18:57,079 [INFO] Iter=14, size=128, max=-2.2320, avg=-2.2637, min=-2.2907, std=0.0121
MNIST: 2024-04-15 19:18:57,155 [INFO] Iter=15, size=128, max=-2.2227, avg=-2.2580, min=-2.2896, std=0.0139
MNIST: 2024-04-15 19:18:57,230 [INFO] Iter=16, size=128, max=-2.2025, avg=-2.2432, min=-2.3056, std=0.0178
MNIST: 2024-04-15 19:18:57,302 [INFO] Iter=17, size=128, max=-2.1760, avg=-2.2197, min=-2.2877, std=0.0203
MNIST: 2024-04-15 19:18:57,379 [INFO] Iter=18, size=128, max=-2.1474, avg=-2.2016, min=-2.2733, std=0.0232
MNIST: 2024-04-15 19:18:57,456 [INFO] Iter=19, size=128, max=-2.1017, avg=-2.1786, min=-2.2467, std=0.0279
MNIST: 2024-04-15 19:18:57,527 [INFO] Iter=20, size=128, max=-2.0689, avg=-2.1326, min=-2.2085, std=0.0301
MNIST: 2024-04-15 19:18:57,600 [INFO] Iter=21, size=128, max=-1.9651, avg=-2.0915, min=-2.1793, std=0.0325
MNIST: 2024-04-15 19:18:57,676 [INFO] Iter=22, size=128, max=-1.9428, avg=-2.0693, min=-2.1864, std=0.0430
MNIST: 2024-04-15 19:18:57,747 [INFO] Iter=23, size=128, max=-1.9317, avg=-2.0450, min=-2.1985, std=0.0470
MNIST: 2024-04-15 19:18:57,824 [INFO] Iter=24, size=128, max=-1.8589, avg=-1.9784, min=-2.0971, std=0.0458
MNIST: 2024-04-15 19:18:57,896 [INFO] Iter=25, size=128, max=-1.7945, avg=-1.9386, min=-2.1538, std=0.0607
MNIST: 2024-04-15 19:18:57,967 [INFO] Iter=26, size=128, max=-1.7180, avg=-1.8681, min=-2.0473, std=0.0570
MNIST: 2024-04-15 19:18:58,044 [INFO] Iter=27, size=128, max=-1.6668, avg=-1.8303, min=-2.0178, std=0.0671
MNIST: 2024-04-15 19:18:58,116 [INFO] Iter=28, size=128, max=-1.6367, avg=-1.7933, min=-1.9976, std=0.0715
MNIST: 2024-04-15 19:18:58,192 [INFO] Iter=29, size=128, max=-1.5720, avg=-1.7461, min=-1.9605, std=0.0780
MNIST: 2024-04-15 19:18:58,268 [INFO] Iter=30, size=128, max=-1.5543, avg=-1.6982, min=-1.8989, std=0.0824
MNIST: 2024-04-15 19:18:58,345 [INFO] Iter=31, size=128, max=-1.4997, avg=-1.6931, min=-1.9569, std=0.0921
MNIST: 2024-04-15 19:18:58,423 [INFO] Iter=32, size=128, max=-1.3838, avg=-1.6058, min=-1.9054, std=0.0980
MNIST: 2024-04-15 19:18:58,494 [INFO] Iter=33, size=128, max=-1.4168, avg=-1.6238, min=-2.0752, std=0.1109
MNIST: 2024-04-15 19:18:58,566 [INFO] Iter=34, size=128, max=-1.3280, avg=-1.5838, min=-2.1702, std=0.1160
MNIST: 2024-04-15 19:18:58,638 [INFO] Iter=35, size=128, max=-1.2877, avg=-1.5210, min=-2.0205, std=0.1325
MNIST: 2024-04-15 19:18:58,708 [INFO] Iter=36, size=128, max=-1.3308, avg=-1.5465, min=-1.9727, std=0.1218
MNIST: 2024-04-15 19:18:58,781 [INFO] Iter=37, size=128, max=-1.2345, avg=-1.4632, min=-1.7645, std=0.1082
MNIST: 2024-04-15 19:18:58,857 [INFO] Iter=38, size=128, max=-1.1814, avg=-1.4335, min=-1.9039, std=0.1309
MNIST: 2024-04-15 19:18:58,933 [INFO] Iter=39, size=128, max=-1.1615, avg=-1.3813, min=-1.8020, std=0.1267
MNIST: 2024-04-15 19:18:59,005 [INFO] Iter=40, size=128, max=-1.0987, avg=-1.3317, min=-1.7221, std=0.1180
MNIST: 2024-04-15 19:18:59,082 [INFO] Iter=41, size=128, max=-1.1074, avg=-1.3638, min=-1.8138, std=0.1402
MNIST: 2024-04-15 19:18:59,158 [INFO] Iter=42, size=128, max=-1.1219, avg=-1.3655, min=-1.8791, std=0.1259
MNIST: 2024-04-15 19:18:59,234 [INFO] Iter=43, size=128, max=-1.0572, avg=-1.3154, min=-1.9827, std=0.1364
MNIST: 2024-04-15 19:18:59,305 [INFO] Iter=44, size=128, max=-1.0621, avg=-1.3167, min=-1.7255, std=0.1401
MNIST: 2024-04-15 19:18:59,376 [INFO] Iter=45, size=128, max=-1.0218, avg=-1.2843, min=-1.8079, std=0.1439
MNIST: 2024-04-15 19:18:59,447 [INFO] Iter=46, size=128, max=-1.0675, avg=-1.3178, min=-1.7557, std=0.1165
MNIST: 2024-04-15 19:18:59,525 [INFO] Iter=47, size=128, max=-1.0245, avg=-1.2701, min=-1.7558, std=0.1433
MNIST: 2024-04-15 19:18:59,602 [INFO] Iter=48, size=128, max=-0.9674, avg=-1.1960, min=-1.5865, std=0.1182
MNIST: 2024-04-15 19:18:59,678 [INFO] Iter=49, size=128, max=-0.9506, avg=-1.1805, min=-1.7115, std=0.1378
MNIST: 2024-04-15 19:18:59,754 [INFO] Iter=50, size=128, max=-0.9069, avg=-1.1695, min=-1.6389, std=0.1420
MNIST: 2024-04-15 19:18:59,825 [INFO] Iter=51, size=128, max=-0.9109, avg=-1.2075, min=-1.7103, std=0.1501
MNIST: 2024-04-15 19:18:59,897 [INFO] Iter=52, size=128, max=-0.9816, avg=-1.2260, min=-1.7257, std=0.1398
MNIST: 2024-04-15 19:18:59,973 [INFO] Iter=53, size=128, max=-0.9272, avg=-1.1751, min=-1.8940, std=0.1423
MNIST: 2024-04-15 19:19:00,044 [INFO] Iter=54, size=128, max=-0.8827, avg=-1.1187, min=-1.4792, std=0.1293
MNIST: 2024-04-15 19:19:00,121 [INFO] Iter=55, size=128, max=-0.8642, avg=-1.1033, min=-1.5274, std=0.1282
MNIST: 2024-04-15 19:19:00,193 [INFO] Iter=56, size=128, max=-0.8753, avg=-1.0828, min=-1.6221, std=0.1252
MNIST: 2024-04-15 19:19:00,264 [INFO] Iter=57, size=128, max=-0.8124, avg=-1.0467, min=-1.5445, std=0.1248
MNIST: 2024-04-15 19:19:00,336 [INFO] Iter=58, size=128, max=-0.8824, avg=-1.0967, min=-1.4624, std=0.1174
MNIST: 2024-04-15 19:19:00,407 [INFO] Iter=59, size=128, max=-0.9226, avg=-1.1540, min=-1.7284, std=0.1340
